あけの,아케노
大門,다이몬초
大門町,다이몬초
大開,오히라키
大間々町大間々,오마마초오마마
大阪市住之江区,수미뇌 쿠
大阪市住吉区,수미요시쿠
大阪市北区,기타쿠
大阪市城東区,조토쿠
大阪市大正区,다이쇼쿠
大阪市天王寺区,텐노지쿠
大阪市平野区,히라노 쿠
大阪市旭区,아사히 쿠
大阪市東住吉区,히가시수미요시쿠
大阪市東成区,히가시나리 쿠
大阪市東淀川区,히가시요다가와쿠
大阪市此花区,고노하나쿠
大阪市浪速区,나니와 쿠
大阪市淀川区,요도가와 쿠
大阪市港区,미나토쿠
大阪市生野区,이쿠노쿠
大阪市福島区,후쿠시마 쿠
大阪市西成区,니시나리쿠
大阪市西淀川区,니시요도가와 쿠
大阪市都島区,미야코지마쿠
大阪市阿倍野区,아베노쿠
大阪市鶴見区,트수루미쿠
大須,오수
大領,다이료
大領町,다이료마치
大飯郡,오이군
大黒町,다이코쿠초
天久,아메쿠
天久保,아마쿠보
天塩郡,데시오 군
天文町,템몬초
天沼町,아마누마초
天王,텐노초
天王町,텐노초
天神ノ森,텐진노모리
天神山町,텐지냐마초
天神沢,텐진사와
天草町大江,아마쿠사마치외
天草郡,아마쿠사 군
天野が原町,아마노가하라초
天願,텐간
太刀,다치
太子堂,다이시도
太子橋,다이시바시
太子町,다이시
太寺,다이데라
太平寺,다이헤이지
太郎丸,다로마루
太陽,다이요
夷隅郡,이수미군
奈摩,나마
奈留町浦,나루마치우라
奈良屋町,나라야마치
奈良橋,나라하시
奈良町,나라초
奈良輪,나라와
奥浦,오쿠우라
妙楽寺,묘라쿠지
妙法寺,묘호지
妹尾,세노'오
妻田北,트수마다키타
姉崎,아네사키
姪の浜,메이노하마
姫川,히메카와
子安台,고야수다이
子安町,고야수마치
学が丘,마나비가오카
学園台,가쿠엔다이
学園町,가쿠엔초
学校町,가꼬초
宇出津,우싵수
宇津野,웉수노
宇田川町,우다가와초
宇茂佐,우무사
宇野,우노초
守恒,모맅수네
守恒本町,모맅수네혼마치
守護町,슈고마치
安久,야수히사
安井,야싀
安土町,아수치마치
安岡町,야수오카초
安慶田,아게다
安来町,야수기초
安東,안도
安永,야수나가
安浦町,야수우라초
安満,아마
安立,안류
安芸津町三津,아킽수초밑수
安芸郡,아키 군
安行原,안교하라
安西,안사이
安谷屋,아다니야
安部,아베
宍喰浦,시시킈우라
宗方,무나카타
宝亀町,호키초
宝来,호라이초
宝来町,호라이초
宝梅,호바이
宝町,다카라마치
実籾,미모미
室山,무로야마
室根町折壁,무로네초오리카베
室田,무로타
室積新開,무로수미신카이
室見,무로미
宮の,미야노마치
宮の森,미야노모리
宮の沢,미야노사와
宮の町,미야노마치
宮ノ,미야노초
宮ノ上,미야노우에
宮下,미야시타
宮下本町,미야시모혼초
宮下町,미야시타초
宮中,큐추
宮之下,미야노시타
宮之阪,미야노사카
宮元町,미야모토초
宮内町,미야우치
宮前,미야매초
宮原町,미야하라초
宮原町新町,미야하라초신마치
宮司,미야지
宮司浜,미야지하마
宮坂,미야사카
宮城郡,미야기 군
宮城野区,미야기노
宮山町,미야야마초
宮崎町,미야사키초
宮川町,미야가와초
宮本,미야모토초
宮本町,미야모토초
宮東,미야히가시
宮永,미야나가
宮沖,미야오키
宮浜,미야하마
宮浦,미야우라
宮田町,미야타초
宮町,미야마치
宮竹,미야타케
宮脇,미야와키
宮西,미야니시
宮谷,미야얕수
宮野,미야노
宮野下,미야노시모
宮野木台,미야노기다이
富丘,도미오카
富原,도미하라
富吉,도미요시
富塚町,도밑수카초
富士見が丘,후지미가오카
富来地頭町,도기지토마치
富松町,도맡수초
富江町富江,도미에마치토미에
富浜,도미하마
富田町,도미타마치
富盛,도모리
寒沢町,칸사와초
寺井,데라이
寺前,데라매초
寺台,데라다이
寺家,지케
寺尾中,데라오나카
寺尾北,데라오키타
寺尾西,데라오니시
寺島,데라지마
寺戸,데라도
寺池町,데라이케초
寺沢,데라사와
寺津,데라수
寺田,데라다초
寺田町,데라다초
寺町,데라마치
寺門,데라카도초
寿町,고토부키초
寿美,수미
寿都郡,숱트수군
将監,쇼겐
小中島,고나카지마
小串郷,오구시고
小久保,고쿠보
小久喜,고구키
小仙波,고센바
小仲台,고나카다이
小佐々町矢岳,고사사초야다케
小佐々町臼ノ浦,고사사초우수노우라
小保,고보
小倉町,오구라초
小国町,오구니 마치
小園南,고소노미나미
小垣内,오가이토
小城町,오기마치
小室,고무로
小宮,고미야
小寺町,고데라초
小屋,고야
小屋場,고야바
小島,오시마
小川西,오가와니시
小張木,고바리노키
小戸,오베
小曽根,고소네초
小束山本町,고수카야마홈마치
小松島町,고맡수시마초
小松町,고맡수초
小柳,고야나기
小栗,오구리
小栗山,고구리야마
小栗栖,오구리수
小根本,고네모토
小森,고모리
小池,고이케
小河内,고고치
小泉,고이수미
小波津,고핱수
小浦,고우라
小深,고부카
小深作,고후카사쿠
小渕,고부치
小瀬町,오세초
小田,오다초
小田町,오다초
小田郡,오다군
小町通,고마치도리
小畑,오바타
小立野,고닽수노
小笹,오사사
小絹,고키누
小芝,고시바
小花,오바나
小若江,고와캐
小茂根,고모네
小谷堀,고야보리
小谷場,고야바
小谷田,고야타
小豆郡,쇼수군
小豆餅,아수키모치
小路東,쇼지히가시
小郡下郷,오고리시모고
小野原東,오노하라히가시
小野新町,오노니이마치
小金台,고가네다이
小針西,고바리니시
小阪本町,고사카홈마치
小青田,고아오타
小鳥町,오도리마치
小鶴,고수루
小黒,오구로
尻引前山,시리비키매야마
尻高,시따카
尼子,아마고
尾ノ上,오노우에
尾上町,오뇌초
尾崎町,오사키초
尾津町,오수마치
尾高,오다카
屋中,야나카
屋形原,야카타바루
屋敷,야시키
屋良,야라
山の井,야마노이
山の田本町,야마노타혼마치
山ノ井,야마노이
山ノ神,야마노카미
山上,야마가미
山下町,야마시타초
山中町,야마나카초
山内,야마우치
山宮,야마미야
山寺,야마데라마치
山居町,산쿄마치
山屋,야마야
山岸,야마기시
山崎町,야마사키초
山本町,야마모토초
山本通,야마모토도리
山根,야마네
山武郡,삼부군
山王,산노초
山王町,산노초
山畑,야마타케
山県市,야마가타 시
山脇,야마와키
山谷町,야마야초
山路,야마지
山道,야마미치
山里,야마사토
山門,산몬초
岐宿町岐宿,기시쿠마치키시쿠
岐宿町川原,기시쿠마치카와라
岡三沢,오카미사와
岡宮,오카노미야
岡山市中区,나카쿠
岡山市北区,기타쿠
岡山市南区,미나미쿠
岡山市東区,히가시쿠
岡本町,오카모토초
岡田,오카다
岡田町,오카다마치
岡町,오카초
岩の上町,이와노우에초
岩下,이와시타
岩井川,이와이카와
岩内郡,이와나이군
岩名,이와나
岩園町,이와소노초
岩屋中町,이와야나카마치
岩屋町,이와야초
岩崎,이와사키
岩崎町,이와사키초
岩戸,이와토초
岩戸南,이와도미나미
岩手郡,이와테군
岩月宝ヶ沢,이왙수키타카라가사와
岩木,이와키초
岩沢,이와사와
岩波,이와나미
岩渕,이와부치
岩瀬郡,이와세군
岩田,이와타초
岩田町,이와타초
岩美郡,이와미군
岩間町,이와마초
岬町,미사키초
岬町椎木,미사키초시이기
岸地通,기시치도리
岸本,기시모토
岸里東,기시노사토히가시
峯町,미네초
島上,시마가미초
島尻,시마지리
島尻郡,시마지리군
島町,시마마치
島間,시마마
島頭,시마가시라
崎山,사키야마
川上郡,가와카미군
川中本町,가와나카혼마치
川久保,가와쿠보
川之江町,가와뇌초
川井,가와이
川原,가와하라초
川台,가와다이
川合,가와이
川向,가와무카이
川和町,가와와초
川島本町,가와시마혼마치
川崎区,가와사키 쿠
川崎市中原区,나카하라 쿠
川崎市多摩区,다마 쿠
川崎市宮前区,미야매 쿠
川崎市幸区,사이와이 쿠
川崎市高津区,다캍수
川戸,가와토
川東,가와히가시
川沿,가와쇠초
川添,가와쇠
川瀬,가와세
川端,가와바타
川端町,가와바타초
川辺郡,가와베군
川部,가와베
川除,가와요케
川面,가와수라
巽南,탙수미미나미
巽東,탙수미히가시
市坪北,이칱수보키타
市場,이치바
市場南,이치바미나미
市場町,이치바초
市姫,이치히메
市岡,이치오카
市川大門,이치카와다이몬
市谷砂土原町,이치가야사도하라초
市道町,이치미치초
布市町,누노이치초
布施新町,후세심마치
布橋,누노하시
布瀬町,누노세마치
布田,후타
帝塚山西,데수카야마니시
帷子,가타비라초
常光寺,조코지
常呂郡,도코로군
常楽,조라쿠
常盤,도키와마치
常盤平,도키와다이라
常盤平西窪町,도키와다이라니시쿠보초
常盤町,도키와마치
常磐湯本町,조반유모토마치
幕山台,마쿠야마다이
幕張町,마쿠하리초
平中,다이나카
平井,히라이
平和,헤이와 추오쿠
平和町,헤이와초
平垣町,헤이가키초
平子,히라코
平安町,헤이안초
平山,히라야마
平山町,히라야마마치
平岡町,히라오카초
平方,히라카타
平東,히라히가시
平松,히라맡수
平松町,히라맡수마치
平畑,히바타케
平舘,다이라다테
平蔵,헤이소
平賀,히라가
平野宮町,히라노미야마치
平野東,히라노히가시
平鹿町浅舞,히라카마치아사마이
幸地,고치
幾久富,기쿠도미
広大新開,히로오신가이
広尾郡,히로오군
広岡,히로오카
広島市佐伯区,새키쿠
広島市安佐北区,아사키타 쿠
広島市安芸区,아키쿠
広島市東区,히가시쿠
広戸,히로토
広瀬台,히로세다이
広瀬東,히로세히가시
広瀬町,히로세초
広瀬町広瀬,히로세초히로세
広町,히로마치
広石,히로이시
広野町,히로노초
広面,히로오모테
庄山町,쇼야마초
庄町,쇼마치
庄西町,쇼세이마치
府中市,후추
府内,후나이
府金,후가네
度会郡,와타라이군
座喜味,자키미
庭代台,니와시로다이
庭瀬,니와세
庵治町,오지초
弁天,벤텐초
弁天町,벤텐초
弁財,벤사이
弓木,유미노키초
引土,히킽수치
引田,히키다
弥栄,얘이
弥生町,야요이초
強首,고와쿠비
彦島本村町,히코시마혼무라초
彦島江の浦町,히코시마에노우라초
彩都あさぎ,사이토아사기
後原,고시하라
後楽,고라쿠
後田,우시로다
後野,우시로노
徒之町,가치노마치
御井,미이마치
御井町,미이마치
御供所町,고쿠쇼마치
御厨町里免,미쿠리야초사토멘
御崎,미사키초
御廟,고뵤
御影中町,미카게나카마치
御影本町,미카게홈마치
御影郡家,미카게군게
御成町,오나리마치
御所山町,고쇼야마초
御料,고료
御殿,고텐초
御殿山,고테냐마
御殿町,고텐초
御立東,미타치히가시
御経,오쿄마치
御荘平城,미쇼히라조
御蔵,미쿠라
御門町,미카도초
御陵,고료
御領,고료
徳万,도쿠만
徳倉,도쿠라
徳吉西,도쿠요시니시
徳川,도쿠가와
徳永,도쿠나가
志津川,미나미산리쿠
志茂,시모
志越,시쾨
忠岡東,다다오카히가시
忠海床浦,다다노우미토코노우라
恩名,온나
恩智中町,온지나카마치
恵子,에코
恵比寿,에비수
恵比寿南,에비수미나미
恵比寿西,에비수니시
恵美坂,에미사카
恵美須西,에비수니시
惣慶,소케이
惣領,소료
愛住町,아이수미초
愛国東,아이코쿠히가시
愛子東,아야시히가시
愛甲郡,아이코군
愛知郡,아이치군
愛野町,아이노
感田,간다
成島,나루시마마치
成東町,나루토
成田東,나리타히가시
成育,세이이쿠
我孫子東,아비코히가시
我孫子西,아비코니시
戸出町,도이데마치
戸切,도기리
戸塚東,도수카히가시
戸塚町,톹수카 초
戸崎,도사키
戸崎通,도사키도리
戸張,도바리
戸毛,도게
戸越,도고시
戸部町,도베초
戸頭,도가시라
扇ガ谷,오기가얕수
手々,데테
手形,데가타
手形からみでん,데가타카라미덴
才木,사이기
打出,우치다시
打瀬,우타세
打越,우치코시
打越町,우치고시마치
払川,하라이가와
折戸,오리도
折戸町,오리토마치
押上,오시아게
拓北,다쿠호쿠
拾六町,주로쿠초
持田,모치다마치
持田町,모치다마치
振内町,후레나이초
揖保郡,이보군
揖斐郡,이비군
搦手,가라무테
撫養町南浜,무야초미나미하마
散田町,산다마치
敷地,시키지
敷島町,시키시마초
敷津東,시킽수히가시
敷津西,시킽수니시
文の里,후미노사토
文京区,분쿄쿠
文京町,분쿄초
文教,분쿄초
文蔵,부소
斐川町,히카와초
斜里郡,샤리군
新丸子東,신마루코히가시
新丸子町,신마루코마치
新久,신히사
新井田,니이다
新井町,아라이초
新作,신사쿠
新保町,신보초
新倉,신쿠라
新光,신코초
新光町,신코초
新冠郡,니이카뿌군
新北野,신키타노
新千葉,신치바
新和,시놔
新在家,신사이케
新堀,니이호리
新大江,신'외
新宮町新宮,신구초신구
新家町,니노미초
新宿町,신주쿠초
新寺,신테라
新小路町,신코지마치
新屋南浜町,아라야미나미하마마치
新屋敷,신'야시키
新屋表町,아라야오모테마치
新川町,신카와초
新川通,신카와도리
新庄町,신조마치
新御堂,신'온도
新曽,니이소
新曽南,니이소미나미
新木野,아라키노
新本,신본
新松戸南,신맡수도미나미
新栄町,신'에이초
新橋町,신바시초
新江,신'에
新治町,니이하루초
新清光台,신세이코다이
新潟市中央区,추오 쿠
新潟市北区,기타 쿠
新潟市南区,미나미
新潟市東,히가시 쿠
新潟市東区,히가시 쿠
新潟市江南区,고난 쿠
新潟市秋葉区,아키하 쿠
新潟市西区,니시
新潟市西蒲区,니시칸 쿠
新牧,신마키
新生,신세이초
新生町,신세이초
新田町,신덴초
新石川,신'이시카와
新稲,니이나
新立岩,신타테이와
新荘,신소
新蒲田,신카마타
新谷,아라야
新通,신토리
新開,신카이
新開地,신카이치
新須賀町,신수카초
新館,니이다테
新高根,신타카네
旅石,다비이시
旅篭町,하타고마치
旗塚通,하탙수카도리
日ノ出町,히노데초
日吉本町,히요시혼초
日吉町,히요시초
日和田,히와다
日山,히야마
日影,히카게
日方,히카타
日暮通,히구레도리
日本堤,니혼숱수미
日本大通,니혼'오도리
日本橋横山町,니혼바시요코야마초
日本橋浜町,니혼바시하마초
日本橋箱崎町,니혼바시하코사키초
日本橋蛎殻町,니혼바시카키가라초
日東,니또
日置荘西町,히키쇼니시마치
日進町,니씬초
日野田町,히노다마치
日野町,히노초
日野郡,히노 군
日限山,히기리야마
日高町,히다카 초
日高郡,히다카군
早宮,하야미야
早水,소미
早稲田鶴巻町,와세닽수루마키초
旭町,켐부치
昌平町東通,쇼헤이초히가시도리
明原,아케하라
明和町,메이와마치
明徳町,메이토쿠마치
明月,메이겥수
明治町,메이지초
明石町,아카시초
明神町,묘진초
星が丘,호시가오카
星の宮,호시노미야
星丘,호시가오카
星井町,호시이초
星和台,세이와다이
星塚町,호시수카초
星川,호시카와
星陵台,세이료다이
春光,슌코초
春光町,슌코초
春吉,하루요시
春山,하루야마
春日出中,가수가데나카
春日台,가수가다이
春日新田,가수가신덴
春日町,가수가초
春木,하루키초
春江町,하루에초
春江町中筋,하루에초나카수지
春田,하루타
春町,하루마치
昭和南,쇼와미나미
昭和通,쇼와도리
曙町,아케보노마치
曲本,마가모토
曲松,마가리맡수
曲渕,마가리후치
曲田,마가타
曽屋,소야
曽我,소가
曽根町,소네초
曽根郷,소네고
最上郡,모가미군
月岡,트수키오카
月崎,트수키사키
月浦,트수키노우라
月見町,트수키미초
月隈,트수키구마
有明町,아리아케마치
有明町上津浦,아리아케마치콭수우라
有本,아리모토
有楽町,유라쿠초
有浦,아리우라
有田郡,아리다군
有福郷,아리후쿠고
有野中町,아리노나카마치
有野町唐櫃,아리노초카라토
朝日ヶ丘,아사히가오카
朝日町,아사히
朝霧,아사기리
木ノ本,기노모토
木ヶ津町,기같수초
木下,기노시타
木之本町,기노모토초
木原町,기하라초
木場町,기바초
木売,기우리
木崎,기사키
木川東,기카와히가시
木曽東,기소히가시
木曽郡,기소군
木月,기수키
木村,기무라
木田,기다
木田町,기다초
木田郡,기타군
木町,기마치
木部町,기베초
木間塚,기맡수카
木風町,기카세초
末広,수에히로
末広町,수에히로초
本中山,모토나카야마
本丸,혼마루
本北方,모토키타카타
本吉郡,모토요시 군
本城,혼조
本堅田,혼카타타
本塩,혼시오
本多聞,혼타몬
本大久保,모토오쿠보
本太,모토부토
本宮町,혼구초
本宿,혼주쿠초
本巣郡,모토수군
本庄東,혼조히가시
本庄町,혼조초
本庄町中,혼조초나카
本新町,모토신마치
本木,모토키
本木南町,모토키미나미마치
本村,혼무라
本江,혼고마치
本牧大里町,혼모쿠오사토초
本田町,혼덴초
本町西,혼마치니시
本通,혼도리
本郷北,혼고키타
本郷南,혼고미나미
本郷町,혼고초
本野,모토노
本駒込,혼코마고메
本鵠沼,혼쿠게누마
札幌市中央区,추오 쿠
札幌市北区,기타 쿠
札幌市南区,미나미
札幌市厚別区,앝수벹수 쿠
札幌市手稲区,데이네쿠
札幌市清田区,기요타 쿠
札幌市白石区,시로이시 쿠
札幌市西区,니시 쿠
札幌市豊平区,도요히라쿠
朱雀,수사쿠
朽網東,구사미히가시
杉並区,수기나미쿠
杉塚,수기수카
杉崎町,수기사키초
杉平,수기노히라
杉村,수기무라
杉谷,수기야
材木町,자이모쿠초
村元,무라모토
村吉,무라요시
村松町,무라맡수마치
村雨町,무라사메초
東七松町,히가시나나맡수초
東三国,히가시미쿠니
東三条,히가시산조
東三輪,히가시미와
東上町,아수마카미초
東上野,히가시우에노
東中島,히가시나카지마
東中新宿,히가시나카신주쿠
東久保町,히가시쿠보초
東九条,도쿠조초
東京都中央区,추오
東今里,히가시이마사토
東仲,히가시나카초
東伯郡,도하쿠군
東保木間,히가시호키마
東倉治,히가시쿠라지
東光台,도코다이
東光町,도코초
東公園,히가시쾬
東内,히가시우치
東分,히가시분
東初富,히가시핱수토미
東別,히가시베후
東十三番町,히가시주산반초
東原,히가시하라
東原町,히가시하라마치
東古市,히가시후릐치
東向島,히가시무코지마
東和泉,히가시이수미
東和田,히가시와다
東和町安俵,도와초아효
東和町米川,도와초요네카와
東和町錦織,도와초니시키오리
東品川,히가시시나가와
東四つ木,히가시욭수기
東国分寺台,히가시코쿠분지다이
東坂下,히가시사카시타
東城町東城,도조초토조
東墨田,히가시수미다
東大井,히가시오이
東大和田,히가시오와다
東大成町,히가시오나리초
東大池,히가시오이케
東大沢,히가시오사와
東大泉,히가시오이수미
東大野,히가시오노
東太田,히가시오다
東宿,히가시슈쿠
東富岡,히가시토미오카
東寺尾,히가시테라오
東寺尾中台,히가시테라오나카다이
東小岩,히가시코이와
東小川,히가시코가와
東小松川,히가시코맡수가와
東小橋,히가시오바세
東尻池町,히가시시리이케초
東尾久,히가시오구
東山本新町,히가시야마모토심마치
東山本町,히가시야마모토초
東山田町,히가시야마타초
東山町長坂,히가시야마초나가사카
東岩崎,히가시이와사키
東幸町,히가시사이와이마치
東彼杵郡,히가시소니기군
東心斎橋,히가시신사이바시
東成区,히가시나리 쿠
東我孫子,히가시아비코
東所沢和田,히가시토코로사와와다
東新井,히가시아라이
東新小岩,히가시신코이와
東新町,도신초
東日暮里,히가시니뽀리
東有馬,히가시아리마
東朝日町,히가시아사히마치
東本,히가시혼초
東本町,히가시혼초
東本荘,히가시혼조
東本郷,히가시혼고
東村山郡,히가시무라야마군
東林間,히가시린칸
東柏,히가시카시와
東柳,히가시야나기
東桜,히가시사쿠라
東比恵,히가시히에
東水,히가시미수마치
東江,아가리에
東江前,아가리에매
東池袋,히가시이케부쿠로
東沢,히가시사와
東油山,히가시아부라야마
東津,히가싵수
東津軽郡,히가싵수가루군
東浅草,히가시아사쿠사
東浜,히가시하마
東浜町,히가시하마마치
東海岸北,히가시카이간키타
東海岸南,히가시카이간미나미
東淡路,히가시아와지
東深井,히가시후카이
東淵野辺,히가시후치노베
東牟婁郡,히가시무로군
東田町,히가시다초
東白川郡,히가시시라카와군
東百合丘,히가시유리가오카
東矢口,히가시야구치
東石井,히가시이시이
東石切町,히가시이시키리초
東石川,히가시이시카와
東神田,히가시칸다
東神田町,히가시칸다초
東福原,히가시후쿠바라
東立石,히가시타테이시
東粉浜,히가시코하마
東綾瀬,히가시아야세
東置賜郡,히가시오키타마군
東羽衣,히가시하고로모
東習志野,히가시나라시노
東茨城郡,히가시이바라키군
東草,도소
東葛西,히가시카사이
東諸県郡,히가시모로카타 군
東谷山,히가시타니야마
東野,히가시노
東野添,히가시노쇠
東野田町,히가시노다마치
東金町,히가시카나마치
東鉄町,히가시텥수마치
東長沼,히가시나가누마
東門前,히가시몬센
東門司,히가시모지
東陽,도요
東難波町,히가시나니와초
東雪谷,히가시유키가야
東雲,시노노메초
東雲町,시노노메초
東香里,히가시코리
松が丘,맡수가오카
松が岬,맡수가사키
松が谷,맡수가야
松ケ丘,맡수가오카
松ノ木,맡수노키
松並,맡수나미
松之浜町,맡수노하마초
松井田町松井田,맡싀다마치맡싀다
松代町,맡수다이마치
松元,맡수모토
松前町,마사키
松前郡,맡수매군
松原町,맡수바라초
松園町,맡수소노초
松城,맡수시로
松塚,맡수수카
松尾町,맡수오마치
松山町,맡수야마초
松庵,쇼안
松影町,맡수카게초
松本町,맡수모토초
松江町,맡수에마치
松波,맡수나미
松濤,쇼토
松田惣領,맡수다소료
松葉,맡수바
松葉町,맡수바초
松長,맡수나가
松陰町,맡수카게초
松隈,맡수구마
松風町,맡수카세초
松香台,맡수카다이
板野郡,이타노군
林寺,하야시지
林町,하야시초
枝幸町,에사시
枝幸郡,에사시 군
柏井,가시와이마치
柏井町,가시와이마치
柏倉,가시와쿠라
柏木町,가시와기초
柏町,가시와초
柏陽,하쿠요초
染地,소메치
柚木町,유노키초
柞原,호소하라
柳井田町,야나이다초
柳原,야나기하라
柳原町,야나기하라마치
柳崎,야나가사키마치
柳川町,야나가와초
柳新田,야나기신덴
柳根町,야나네초
柳橋,야나기바시
柳瀬,야나세
柳町,야나기마치
柴垣,시바가키
柴崎台,시바사키다이
柴崎町,시바사키초
柴田郡,시바타군
柴町,시바초
柿の木台,가키노키다이
柿の木坂,가키노키사카
柿木,가키노키
柿木町,가키노키초
栄区,사캐 쿠
栄町西,사캐초니시
栄通,사캐도리
栄野比,에노비
栗坪,구맅수보
栗木,구리기
栗木台,구리기다이
栗田谷,구리타야
根城,네조
根小屋,네고야
根岸,네기시
根岸町,네기시초
桂木,캍수라기
桃井,모모노이초
桃原,도바루
桃山台,모모야마다이
桃山町,모모야마초
桃里,모모사토
桐畑,기리바타케
桑原町,구와바라마치
桑崎,가사키
桑江,구왜
桔梗野,기쿄노
桜が丘中町,사쿠라가오카나카마치
桜ガ丘,사쿠라가오카
桜丘,사쿠라오카
桜丘町,사쿠라가오카초
桜井町,사쿠라이초
桜口町,사쿠라구치초
桜坂,사쿠라사카
桜塚,사쿠라수카
桜山町,사쿠라야마마치
桜岡,사쿠라오카
桜新,사쿠라신마치
桜木町,사쿠라기초
桜森,사쿠라모리
桜沢,사쿠라사와
桜田,사쿠라다
桜田東,사쿠라다히가시
桧原,히바루
桴海,후카이
梁川町,야나가와초
梅ケ香町,우메가카초
梅ノ木,우메노키
梅光園,바이쾬
梅南,바이난
梅原,우메하라
梅園,우메소노
梅島,우메지마
梅本,우메모토
梅田町,우메다마치
梅町,우메마치
梶野町,가지노초
棚原,다나하라
森が丘,모리가오카
森下町,모리시타마치
森島,모리지마
森本,모리모토초
森本町,모리모토초
森田,모리타초
森町,모리초
森野,모리노
椋野町,무쿠노초
植松町,우에맡수초
植竹,우에타케초
椎木町,시이노키초
楚辺,소베
楠丘町,구수가오카초
楠公,난고
楠木,구수노키초
楠木町,구수노키초
楠町,구수노키마치
極楽寺,고쿠라쿠지초
楽田,라쿠타
楽町,라쿠마치
榎井,에나이
榎戸,에노키도
榎町,에노키마치
榛原萩原,하이바라하기하라
榛原郡,하이바라군
槇塚台,마키수카다이
槇尾,마키오
樋ノ口町,히노쿠치초
標津郡,시벹수군
権現,곤겐초
権現堂,곤겐도
権現町,곤겐초
横井,요코이
横内,요코우치
横堤,요코숱수미
横山町,요코야마초
横峰,요코미네
横川,요코가와초
横林,요코바야시
横森,요코모리
横浜市中区,나카 쿠
横浜市南区,미나미 쿠
横浜市戸塚区,톹수카 쿠
横浜市旭区,아사히 쿠
横浜市栄区,사캐 쿠
横浜市泉区,이수미
横浜市港北区,고호쿠쿠
横浜市港南区,고난
横浜市瀬谷区,세야 쿠
横浜市磯子区,이소고 쿠
横浜市神奈川区,가나가와
横浜市緑区,미도리 쿠
横浜市西区,니시 쿠
横浜市都筑区,트수수키 쿠
横浜市金沢区,가나사와
横浜市青葉区,아오바
横浜市鶴見区,트수루미 쿠
横町,요코마치
横谷,요코타니
横野,요코노초
樫野,가시노
樺山,가바야마
樺戸郡,가바토군
樽井,다릐
樽味,다루미
橋の内,하시노치
橋場,하시바
橋本町,하시모토마치
橋爪,하시수메
橋西,교세이
橘町,다치바나초
橘通,다치바나도리
檜尾,히노오
檜山,히야마
檜山郡,히야마군
次屋,트수기야
歌舞伎町,가부키초
正手,쇼테
正明寺,쇼메이지
正木,마사키
正雀本町,쇼자쿠홈마치
此花,고노하나쿠
段上町,단조초
殿町,도노마치
比企郡,히키군
毘沙門,비샤몬
毛利,모리
毛利台,모리다이
毛馬町,게마초
水前寺,싀센지
水前寺公園,싀센지쾬
水口町,미나구치초
水呑,미수노미
水尻,미수시리
水尾,미수오
水明,싀메이초
水木,미수키
水源,싀겐
水無瀬,미나세
水町,미수마치
水谷,미수타니
水道町,싀도초
水野,미수노
氷取沢町,히토리사와초
氷室台,히무로다이
氷室町,히무로초
氷川台,히카와다이
永井,나가이
永井作,나가이사쿠
永吉,나가요시
永和,에이와
永楽町,에이라쿠초
永犬丸,에이노마루
永碇町,나가이카리마치
汐入町,시오이리초
汐見,시오미초
汐見台,시오미다이
江上町,에가미초
江南市,고난시
江原,에하라초
江原町,에하라초
江口,에구치
江坂,에사카초
江尻,에지리
江尻町,에지리초
江島,에지마마치
江川,에가와
江差町,에사시 초
江戸堀,에도보리
江戸川区,에도가와쿠
江戸川台東,에도가와다이히가시
江戸川台西,에도가와다이니시
江東区,고토쿠
江東橋,고토바시
江洲,에수
江迎町田ノ元,에무캐초타노모토
池下,이케시타
池新田,이케신덴
池河内,이케노고치
池浦町,이크라초
池田下町,이케다시모초
池田町,이케다초
池端,이케바타
池袋本町,이케부쿠로혼초
汲沢,구미사와
汲沢町,구미사와초
沖新,오키신마치
沖田,오키타
沖野,오키노
沖野上町,오키노가미초
沙流郡,사루군
沢口,사와구치
沢尻,사와지리
沢山,사와야마
沢岻,다쿠시
沢田,사와다
沢端,사와바타
河内郡,가와치군
河北郡,가호쿠 군
河原,가와라마치
河原木,가와라기
河崎,가와사키
河東,가토
河東郡,가토군
河沼郡,가와누마군
河浦町崎津,가와우라마치사킽수
河浦町河浦,가와우라마치카와우라
河西郡,가사이군
河野,고노무라
油町,아부라마치
治田,하따
沼山,누마야마
沼館,누마다테
泉が丘,이수미가오카
泉北郡,센보쿠군
泉南郡,센난군
泊町,도마리마치
波浮港,하부미나토
泥亀,데이키
洞内,호라나이
津丸,트수마루
津和,트수와
津和崎郷,트수와사키고
津島市,트수시마시
津島町,트수시마초
津波,트수하
津田元町,트수다모토마치
津田町,트수다마치
津田町鶴羽,트수다마칱수루와
津西,트수니시
津野,트수노
津雲台,트수쿠모다이
流町,나가레마치
浄土寺,조도지
浄明寺,조묘지
浅井町,아사이초
浅子町,아사고초
浅野,아사노초
浅間本町,센겐혼초
浅間町,센겐초
浜ノ,하마노초
浜ノ浦,하마노우라
浜子,하마고
浜島町,하마시마초
浜松市中,나카
浜松市中区,나카
浜松市南区,미나미쿠
浜松市天竜区,텐류쿠
浜松市東区,히가시 쿠
浜松市浜北区,하마키타쿠
浜松市西区,니시
浜松町,하마맡수초
浜田町,하마다초
浜町,하마초
浜竹,하마타케
浦上台,우라가미다이
浦和区,우라와쿠
浦屋敷,우라야시키
浦河郡,우루카와군
浦田,우라타
浦町,우라마치
浦見,우라미
浦郷,우라고초
浪速区,나니와 쿠
浪館前田,나미다테매다
浮津,우킽수
浮間,우키마
海岸通,가이간도리
